County,State,mean_life_expectancy,State_FIPS,County_FIPS,age_18_and_under_percentage
Putnam County,Illinois,79.4761962910542,17,155,6.6
Randolph County,Illinois,77.6309057233618,17,157,8.7
Richland County,Illinois,77.7363584249074,17,159,8.4
Rock Island County,Illinois,78.5170956987508,17,161,9.5
Saint Clair County,Illinois,76.7161753601221,17,163,9.7
Saline County,Illinois,73.9857289262721,17,165,9.0
Sangamon County,Illinois,78.1996583207706,17,167,8.7
Schuyler County,Illinois,78.4476751147837,17,169,6.6
Scott County,Illinois,77.8723775429143,17,171,7.3
Shelby County,Illinois,79.4160538287933,17,173,7.5
Stark County,Illinois,77.4065663980925,17,175,6.9
Stephenson County,Illinois,79.278319960549,17,177,8.1
Tazewell County,Illinois,78.5199329141939,17,179,7.7
Union County,Illinois,76.2223539248808,17,181,9.1
Vermilion County,Illinois,75.7481610363374,17,183,9.8
Wabash County,Illinois,78.1944127190549,17,185,9.1
Warren County,Illinois,78.3304332475068,17,187,13.1
Washington County,Illinois,78.9632115016959,17,189,8.2
Wayne County,Illinois,77.3103715515045,17,191,8.0
White County,Illinois,75.9287809980545,17,193,7.5
Whiteside County,Illinois,78.3845532660126,17,195,8.3
Will County,Illinois,79.921812556413,17,197,8.6
Williamson County,Illinois,76.6909210597348,17,199,8.7
Winnebago County,Illinois,77.5903374684713,17,201,8.7
Woodford County,Illinois,79.9406466571983,17,203,8.8
Adams County,Indiana,79.10863905292,18,001,8.7
Allen County,Indiana,78.1066249813074,18,003,9.6
Bartholomew County,Indiana,77.6753588885786,18,005,8.3
Benton County,Indiana,78.1823302835969,18,007,7.7
Blackford County,Indiana,76.2251877006383,18,009,8.1
Boone County,Indiana,78.5670574486803,18,011,7.1
Brown County,Indiana,78.6794386182142,18,013,6.5
Carroll County,Indiana,79.6926703041251,18,015,7.7
Cass County,Indiana,77.2702341103603,18,017,8.8
Clark County,Indiana,75.8693438195699,18,019,8.5
Clay County,Indiana,76.0172593739849,18,021,8.6
Clinton County,Indiana,76.9633693566098,18,023,8.9
Crawford County,Indiana,75.6451586951159,18,025,8.2
Daviess County,Indiana,76.7996956119401,18,027,9.4
Dearborn County,Indiana,77.7137420823975,18,029,7.7
Decatur County,Indiana,77.000354211248,18,031,7.9
DeKalb County,Indiana,77.6776403096605,18,033,8.1
Delaware County,Indiana,76.4319953627186,18,035,19.4
Dubois County,Indiana,78.6910970555099,18,037,7.4
Elkhart County,Indiana,78.4433321079367,18,039,9.2
Fayette County,Indiana,74.4521855377607,18,041,7.5
Floyd County,Indiana,76.8176948594496,18,043,9.3
Fountain County,Indiana,76.7105769389428,18,045,8.1
Franklin County,Indiana,78.2254029893972,18,047,7.6
Fulton County,Indiana,76.2220073610104,18,049,7.7
Gibson County,Indiana,77.62049806858,18,051,8.8
Grant County,Indiana,75.9964414967353,18,053,12.8
Greene County,Indiana,76.3394198477181,18,055,8.2
Hamilton County,Indiana,81.6931627446357,18,057,6.2
Hancock County,Indiana,78.2981868024249,18,059,7.7
Harrison County,Indiana,77.4556101461271,18,061,8.1
Hendricks County,Indiana,79.6314471032762,18,063,7.9
Henry County,Indiana,76.0542793851489,18,065,8.6
Howard County,Indiana,76.186692766995,18,067,8.3
Huntington County,Indiana,77.5450425562246,18,069,10.1
Jackson County,Indiana,76.0547807074264,18,071,7.9
Jasper County,Indiana,77.7672342300838,18,073,9.5
Jay County,Indiana,76.4198285571374,18,075,8.7
Jefferson County,Indiana,75.7768041254993,18,077,10.5
Jennings County,Indiana,74.9696935965512,18,079,8.4
Johnson County,Indiana,78.2545698696458,18,081,8.6
Knox County,Indiana,75.7855993912433,18,083,15.9
Kosciusko County,Indiana,78.3020568995406,18,085,9.2
LaGrange County,Indiana,79.3112813311658,18,087,9.4
Lake County,Indiana,76.7133301589113,18,089,9.1
LaPorte County,Indiana,76.3948055967274,18,091,9.2
Lawrence County,Indiana,76.0683507516692,18,093,7.8
Madison County,Indiana,76.0328094835292,18,095,9.2
Marion County,Indiana,76.1909147593533,18,097,10.3
Marshall County,Indiana,78.5467905471958,18,099,8.5
Martin County,Indiana,77.261458799746,18,101,7.3
Miami County,Indiana,77.2333003462506,18,103,9.5
Monroe County,Indiana,80.0168691239955,18,105,29.4
Montgomery County,Indiana,77.419445363511,18,107,12.0
Morgan County,Indiana,76.8282192566051,18,109,7.9
Newton County,Indiana,76.7508054936571,18,111,7.9
Noble County,Indiana,77.454740064494,18,113,9.1
Ohio County,Indiana,77.7269593649938,18,115,7.8
Orange County,Indiana,76.2155820518532,18,117,8.5
Owen County,Indiana,76.0885361000219,18,119,8.0
Parke County,Indiana,78.3459316573547,18,121,8.7
Perry County,Indiana,77.1812657258562,18,123,9.5
Pike County,Indiana,76.8332914847443,18,125,7.7
Porter County,Indiana,78.5946487558035,18,127,9.4
Posey County,Indiana,78.8061867555354,18,129,8.5
Pulaski County,Indiana,76.2537873756355,18,131,8.3
Putnam County,Indiana,77.8000844162511,18,133,13.5
Randolph County,Indiana,77.1417378051397,18,135,7.7
Ripley County,Indiana,77.3828572144829,18,137,7.7
Rush County,Indiana,76.8591485989229,18,139,8.1
Saint Joseph County,Indiana,77.7811150058067,18,141,11.2
Scott County,Indiana,72.9513784585624,18,143,9.1
Shelby County,Indiana,76.9469314443069,18,145,8.4
Spencer County,Indiana,78.8505057093868,18,147,7.3
Starke County,Indiana,74.5791222030702,18,149,8.2
Steuben County,Indiana,79.0697701372316,18,151,12.2
Sullivan County,Indiana,75.5209382384669,18,153,9.7
Switzerland County,Indiana,76.057542155507,18,155,8.2
Tippecanoe County,Indiana,79.1974373457372,18,157,27.1
Tipton County,Indiana,78.1294539093809,18,159,7.7
Union County,Indiana,77.5249646694011,18,161,8.8
Vanderburgh County,Indiana,76.8276616371405,18,163,11.2
Vermillion County,Indiana,75.3902120225868,18,165,7.7
Vigo County,Indiana,75.9322550202077,18,167,15.2
Wabash County,Indiana,77.0951836327656,18,169,10.4
Warren County,Indiana,78.7531785602367,18,171,7.7
Warrick County,Indiana,78.8488658800924,18,173,7.2
Washington County,Indiana,75.3561602016912,18,175,8.1
Wayne County,Indiana,75.7210236000048,18,177,9.8
Wells County,Indiana,78.8164555188085,18,179,8.3
White County,Indiana,77.7295962861624,18,181,7.8
Whitley County,Indiana,79.0452963995149,18,183,8.4
Adair County,Iowa,78.7605442780773,19,001,7.1
Adams County,Iowa,78.5568813594229,19,003,6.6
Allamakee County,Iowa,79.7393992324402,19,005,7.7
Appanoose County,Iowa,77.6446453395507,19,007,7.2
Audubon County,Iowa,79.590956585313,19,009,5.8
Benton County,Iowa,80.6491700993739,19,011,7.2
Black Hawk County,Iowa,79.3735900737619,19,013,15.5
Boone County,Iowa,78.8532742146027,19,015,7.8
Bremer County,Iowa,82.0704160642289,19,017,12.8
Buchanan County,Iowa,79.1836368917541,19,019,7.5
Buena Vista County,Iowa,80.6848193384376,19,021,12.1
Butler County,Iowa,79.6448067660733,19,023,6.3
Calhoun County,Iowa,79.2461472952856,19,025,7.3
Carroll County,Iowa,79.9016794961866,19,027,7.2
Cass County,Iowa,78.1408301639085,19,029,7.5
Cedar County,Iowa,81.0538144944642,19,031,6.6
Cerro Gordo County,Iowa,79.1761120092532,19,033,8.9
Cherokee County,Iowa,79.9593324257431,19,035,8.1
Chickasaw County,Iowa,80.2684114499224,19,037,7.1
Clarke County,Iowa,77.856849104424,19,039,8.8
Clay County,Iowa,79.8940807358669,19,041,7.6
Clayton County,Iowa,80.6318543193924,19,043,7.0
Clinton County,Iowa,78.2768236714948,19,045,8.4
Crawford County,Iowa,80.0381854163523,19,047,9.1
Dallas County,Iowa,81.8695091852878,19,049,6.5
Davis County,Iowa,79.0803253658714,19,051,7.8
Decatur County,Iowa,78.1249657479449,19,053,16.6
Delaware County,Iowa,80.6010298908814,19,055,7.0
Des Moines County,Iowa,78.6178138672673,19,057,7.8
Dickinson County,Iowa,80.6833645918765,19,059,6.5
Dubuque County,Iowa,80.0409424252503,19,061,10.8
Emmet County,Iowa,78.7914748803203,19,063,12.1
Fayette County,Iowa,79.2079257158097,19,065,10.7
Floyd County,Iowa,79.7533906447473,19,067,7.2
Franklin County,Iowa,80.3416972775274,19,069,8.0
Fremont County,Iowa,78.617035422691,19,071,7.4
Greene County,Iowa,79.0989780752994,19,073,7.3
Grundy County,Iowa,80.5719876988128,19,075,7.1
Guthrie County,Iowa,79.5630566148047,19,077,5.6
Hamilton County,Iowa,80.1830175394811,19,079,7.7
Hancock County,Iowa,80.611942135149,19,081,5.8
Hardin County,Iowa,79.6643908613779,19,083,8.0
Harrison County,Iowa,77.9255561892742,19,085,7.1
Henry County,Iowa,79.114200476486,19,087,8.3
Howard County,Iowa,79.8485843907778,19,089,6.3
Humboldt County,Iowa,79.9626426965249,19,091,7.2
Ida County,Iowa,79.0585037362516,19,093,6.4
Iowa County,Iowa,80.4890135788362,19,095,6.7
Jackson County,Iowa,78.7927729440258,19,097,7.2
Jasper County,Iowa,79.679281386481,19,099,8.0
Jefferson County,Iowa,80.5375633016688,19,101,11.3
Johnson County,Iowa,82.1844619705219,19,103,21.9
Jones County,Iowa,80.4953758790235,19,105,7.2
Keokuk County,Iowa,79.9374405823347,19,107,7.0
Kossuth County,Iowa,81.3548113270652,19,109,6.6
Lee County,Iowa,76.9093007291384,19,111,8.7
Linn County,Iowa,80.3734841779471,19,113,9.9
Louisa County,Iowa,78.9730880153079,19,115,7.9
Lucas County,Iowa,78.5851293938875,19,117,7.1
Lyon County,Iowa,81.148179863915,19,119,7.1
Madison County,Iowa,79.6420925599423,19,121,6.1
Mahaska County,Iowa,79.6022227539185,19,123,10.4
Marion County,Iowa,79.1450118292749,19,125,10.5
Marshall County,Iowa,78.0445772470682,19,127,8.5
Mills County,Iowa,78.3787233326155,19,129,6.9
Mitchell County,Iowa,80.9629944583236,19,131,7.4
Monona County,Iowa,77.2080652922631,19,133,6.5
Monroe County,Iowa,77.6385536835239,19,135,8.3
Montgomery County,Iowa,77.6066167054178,19,137,6.5
Muscatine County,Iowa,78.6910323238503,19,139,8.3
O'Brien County,Iowa,79.7436127895147,19,141,7.3
Osceola County,Iowa,79.8812026689713,19,143,7.9
Page County,Iowa,78.2319295523827,19,145,7.5
Palo Alto County,Iowa,78.9326403619784,19,147,9.8
Plymouth County,Iowa,80.5580434613828,19,149,6.6
Pocahontas County,Iowa,79.0080443171667,19,151,6.7
Polk County,Iowa,79.1754143849637,19,153,9.2
Pottawattamie County,Iowa,78.0415384502436,19,155,9.8
Poweshiek County,Iowa,79.6932079753112,19,157,13.7
Ringgold County,Iowa,78.4221074278507,19,159,6.6
Sac County,Iowa,79.5272165554243,19,161,6.6
Scott County,Iowa,79.1499528008644,19,163,8.9
Shelby County,Iowa,80.6377713275269,19,165,6.3
Sioux County,Iowa,82.7612252358714,19,167,14.5
Story County,Iowa,82.2541933418442,19,169,31.9
Tama County,Iowa,79.153842170556,19,171,7.4
Taylor County,Iowa,79.3234526473165,19,173,5.7
Union County,Iowa,78.083341899027,19,175,9.6
Van Buren County,Iowa,78.1376478488718,19,177,6.8
Wapello County,Iowa,77.2596943299344,19,179,10.3
Warren County,Iowa,79.8319844812265,19,181,9.2
Washington County,Iowa,80.0296148725653,19,183,7.0
Wayne County,Iowa,77.9069421572314,19,185,7.6
Webster County,Iowa,77.4897411949446,19,187,12.5
Winnebago County,Iowa,80.3397618258079,19,189,9.9
Winneshiek County,Iowa,82.3930684122002,19,191,15.8
Woodbury County,Iowa,78.0233128429221,19,193,10.8
Worth County,Iowa,79.5973204812741,19,195,6.6
Wright County,Iowa,80.1111034736425,19,197,7.5
Allen County,Kansas,75.7456016642854,20,001,9.6
Anderson County,Kansas,78.0583821521914,20,003,6.6
Atchison County,Kansas,77.1504931865396,20,005,14.7
Barber County,Kansas,77.1977168973389,20,007,7.2
Barton County,Kansas,78.1535671040513,20,009,9.5
Bourbon County,Kansas,76.2854403262409,20,011,9.8
Brown County,Kansas,76.9812546175143,20,013,7.5
Butler County,Kansas,77.8251955223233,20,015,10.3
Chase County,Kansas,78.4145984726479,20,017,6.9
Chautauqua County,Kansas,76.3346180527011,20,019,7.6
Cherokee County,Kansas,74.6605686182445,20,021,7.7
Cheyenne County,Kansas,79.6657253219841,20,023,3.3
Clark County,Kansas,78.7761348381694,20,025,2.8
Clay County,Kansas,79.3155442773043,20,027,6.5
Cloud County,Kansas,77.3372183424685,20,029,13.0
Coffey County,Kansas,77.097468868888,20,031,6.8
Comanche County,Kansas,76.5891534858085,20,033,4.3
Cowley County,Kansas,75.7334693099381,20,035,11.2
Crawford County,Kansas,76.3057239132614,20,037,18.4
Decatur County,Kansas,79.1376102801554,20,039,3.5
Dickinson County,Kansas,77.9415010982874,20,041,8.2
Doniphan County,Kansas,78.6141829095255,20,043,15.4
Douglas County,Kansas,80.6223100312615,20,045,25.6
Edwards County,Kansas,77.437540836725,20,047,5.7
Elk County,Kansas,76.5425902788036,20,049,5.4
Ellis County,Kansas,79.5002510274274,20,051,19.0
Ellsworth County,Kansas,78.2155842277977,20,053,12.2
Finney County,Kansas,79.4701987982048,20,055,11.6
Ford County,Kansas,78.5103828841101,20,057,11.0
Franklin County,Kansas,77.7326210452103,20,059,8.7
Geary County,Kansas,76.5520605133894,20,061,14.0
Gove County,Kansas,79.7026220074315,20,063,4.7
Graham County,Kansas,79.6215240756737,20,065,6.3
Grant County,Kansas,78.5520497002638,20,067,10.2
Gray County,Kansas,79.1125050506102,20,069,7.5
Greeley County,Kansas,77.279476836115,20,071,4.4
Greenwood County,Kansas,76.0226404951917,20,073,6.1
Hamilton County,Kansas,76.7582074560122,20,075,8.5
Harper County,Kansas,76.2078805872183,20,077,7.1
Harvey County,Kansas,78.6615919428302,20,079,9.5
Haskell County,Kansas,79.3283007326473,20,081,9.2
Hodgeman County,Kansas,79.3734751905449,20,083,4.5
Jackson County,Kansas,78.2216025523955,20,085,7.0
Jefferson County,Kansas,78.7516709491591,20,087,6.4
Jewell County,Kansas,79.0035785746987,20,089,6.7
Johnson County,Kansas,81.5867012206082,20,091,7.6
Kearny County,Kansas,77.8907643634897,20,093,6.2
Kingman County,Kansas,76.0055896995841,20,095,7.3
Kiowa County,Kansas,78.9243444142467,20,097,11.0
Labette County,Kansas,75.689096203584,20,099,10.0
Lane County,Kansas,77.3616568405227,20,101,8.4
Leavenworth County,Kansas,78.9239494251314,20,103,8.6
Lincoln County,Kansas,79.1308749905149,20,105,3.2
Linn County,Kansas,77.4007527105963,20,107,6.8
Logan County,Kansas,78.7689299293396,20,109,6.9
Lyon County,Kansas,78.4198020871217,20,111,16.7
McPherson County,Kansas,78.6348894981866,20,113,9.1
Marion County,Kansas,78.6246839087988,20,115,10.2
Marshall County,Kansas,79.1787437971039,20,117,6.4
Meade County,Kansas,78.9529578654015,20,119,8.6
Miami County,Kansas,78.9959941157408,20,121,7.0
Mitchell County,Kansas,78.6097725548086,20,123,12.1
Montgomery County,Kansas,75.3982622227074,20,125,10.2
Morris County,Kansas,78.6609828704592,20,127,7.0
Morton County,Kansas,77.2933023413455,20,129,6.9
Nemaha County,Kansas,79.7719740061442,20,131,6.4
Neosho County,Kansas,76.755450035774,20,133,9.9
Ness County,Kansas,78.6010251872461,20,135,3.2
Norton County,Kansas,79.0986802177561,20,137,8.8
Osage County,Kansas,77.7131825199691,20,139,6.9
Osborne County,Kansas,78.2756639650454,20,141,7.5
Ottawa County,Kansas,77.4322416400935,20,143,5.9
Pawnee County,Kansas,78.1007669141943,20,145,9.3
Phillips County,Kansas,78.2187309585589,20,147,6.6
Pottawatomie County,Kansas,79.9509984873056,20,149,7.9
Pratt County,Kansas,77.6921346587163,20,151,12.1
Rawlins County,Kansas,79.1283792229379,20,153,6.8
Reno County,Kansas,77.8903584400063,20,155,10.5
Republic County,Kansas,78.4787187962831,20,157,6.0
Rice County,Kansas,76.8711925734521,20,159,12.2
Riley County,Kansas,81.3715194752047,20,161,35.7
Rooks County,Kansas,78.3120928233758,20,163,7.4
Rush County,Kansas,77.8988005800046,20,165,7.6
Russell County,Kansas,78.5145373760544,20,167,6.9
Saline County,Kansas,78.1704293082708,20,169,9.9
Scott County,Kansas,78.5627686652649,20,171,7.8
Sedgwick County,Kansas,77.6733449756353,20,173,9.8
Seward County,Kansas,78.6347244402381,20,175,12.8
Shawnee County,Kansas,77.6688389578252,20,177,8.9
Sheridan County,Kansas,79.7943373498445,20,179,8.5
Sherman County,Kansas,77.516984994898,20,181,10.7
Smith County,Kansas,79.0627811265411,20,183,4.4
Stafford County,Kansas,77.1824423958935,20,185,6.9
Stanton County,Kansas,78.9906303111057,20,187,10.4
Stevens County,Kansas,78.9106161997635,20,189,3.5
Sumner County,Kansas,76.8333564746614,20,191,8.6
Thomas County,Kansas,79.3598170027844,20,193,13.4
Trego County,Kansas,78.5971100115041,20,195,8.7
Wabaunsee County,Kansas,78.8903440815747,20,197,6.5
Wallace County,Kansas,79.3895270451535,20,199,7.6
Washington County,Kansas,79.4062152657966,20,201,7.1
Wichita County,Kansas,79.0281555988547,20,203,2.7
Wilson County,Kansas,75.6740580994789,20,205,7.6
Woodson County,Kansas,76.3196155757124,20,207,6.2
Wyandotte County,Kansas,75.6788047893435,20,209,9.8
Adair County,Kentucky,76.8951273884187,21,001,11.4
Allen County,Kentucky,75.5537560118933,21,003,9.1
Anderson County,Kentucky,76.6689800272318,21,005,7.7
Ballard County,Kentucky,75.1249448879756,21,007,8.1
Barren County,Kentucky,76.2181002388888,21,009,8.1
Bath County,Kentucky,73.6919354847708,21,011,7.1
Bell County,Kentucky,72.1545932485008,21,013,9.3
Boone County,Kentucky,78.9787600807626,21,015,7.7
Bourbon County,Kentucky,76.148520208131,21,017,9.0
Boyd County,Kentucky,75.286820982908,21,019,7.7
Boyle County,Kentucky,77.1462163595648,21,021,12.0
Bracken County,Kentucky,74.8446210398713,21,023,8.2
Breathitt County,Kentucky,70.0415135650985,21,025,9.9
Breckinridge County,Kentucky,75.6507406495333,21,027,7.7
Bullitt County,Kentucky,78.4187380405662,21,029,8.7
Butler County,Kentucky,75.0760325204733,21,031,8.5
Caldwell County,Kentucky,75.4563764083961,21,033,7.6
Calloway County,Kentucky,77.0999511193579,21,035,19.6
Campbell County,Kentucky,77.2566845266223,21,037,11.4
Carlisle County,Kentucky,75.6041427230956,21,039,7.5
Carroll County,Kentucky,73.2590590509219,21,041,9.8
Carter County,Kentucky,74.7136005684046,21,043,9.8
Casey County,Kentucky,74.6275677580659,21,045,7.9
Christian County,Kentucky,75.3410818188128,21,047,17.5
Clark County,Kentucky,75.3869072888123,21,049,7.7
Clay County,Kentucky,71.6387957521678,21,051,9.4
Clinton County,Kentucky,73.8631933008376,21,053,7.6
Crittenden County,Kentucky,74.5557027872821,21,055,7.3
Cumberland County,Kentucky,73.920137220099,21,057,8.0
Daviess County,Kentucky,77.1597737928846,21,059,9.1
Edmonson County,Kentucky,77.0390623633687,21,061,12.5
Elliott County,Kentucky,75.5980470389881,21,063,12.3
Estill County,Kentucky,72.7582824254055,21,065,7.5
Fayette County,Kentucky,78.4904824391869,21,067,14.4
Fleming County,Kentucky,73.9729178875857,21,069,7.8
Floyd County,Kentucky,71.5768261599747,21,071,8.6
Franklin County,Kentucky,76.5156574529496,21,073,10.6
Fulton County,Kentucky,72.730042355421,21,075,8.9
Gallatin County,Kentucky,72.9563859777985,21,077,10.4
Garrard County,Kentucky,77.6303146171834,21,079,7.4
Grant County,Kentucky,74.6936022231672,21,081,8.8
Graves County,Kentucky,75.8077427780724,21,083,8.1
Grayson County,Kentucky,74.203757171922,21,085,8.1
Green County,Kentucky,76.2308931842454,21,087,7.3
Greenup County,Kentucky,75.6280139153187,21,089,7.7
Hancock County,Kentucky,76.9052312418095,21,091,7.8
Hardin County,Kentucky,77.274197955433,21,093,11.2
Harlan County,Kentucky,71.0630213845707,21,095,8.9
Harrison County,Kentucky,74.7897773768268,21,097,7.8
Hart County,Kentucky,74.9852122897416,21,099,8.6
Henderson County,Kentucky,76.0040643726601,21,101,8.6
Henry County,Kentucky,75.3369902764808,21,103,7.5
Hickman County,Kentucky,76.0514933400692,21,105,6.3
Hopkins County,Kentucky,74.4535311676816,21,107,7.7
Jackson County,Kentucky,72.8152323363802,21,109,7.8
Jefferson County,Kentucky,76.6103484991577,21,111,9.4
Jessamine County,Kentucky,77.567987074532,21,113,9.9
Johnson County,Kentucky,72.710308234689,21,115,8.6
Kenton County,Kentucky,76.396194448502,21,117,9.0
Knott County,Kentucky,72.5640164701593,21,119,9.8
Knox County,Kentucky,72.9002154045939,21,121,9.9
Larue County,Kentucky,76.1120641645342,21,123,8.7
Laurel County,Kentucky,75.0464481736786,21,125,8.4
Lawrence County,Kentucky,73.3012000044671,21,127,9.1
Lee County,Kentucky,71.2206644427907,21,129,8.7
Leslie County,Kentucky,71.0435658901931,21,131,9.5
Letcher County,Kentucky,72.1227170347455,21,133,8.3
Lewis County,Kentucky,74.0857570285331,21,135,8.3
Lincoln County,Kentucky,74.8709717233835,21,137,8.0
Livingston County,Kentucky,74.8750058070676,21,139,8.3
Logan County,Kentucky,75.7509910871707,21,141,7.6
Lyon County,Kentucky,76.479913302617,21,143,6.6
McCracken County,Kentucky,75.9825596618081,21,145,7.6
McCreary County,Kentucky,72.6023149390992,21,147,9.6
McLean County,Kentucky,75.0159964761838,21,149,7.6
Madison County,Kentucky,76.8595000070909,21,151,16.7
Magoffin County,Kentucky,72.5268484582371,21,153,8.3
Marion County,Kentucky,76.0971102267259,21,155,8.5
Marshall County,Kentucky,75.8141217191829,21,157,7.5
Martin County,Kentucky,72.6005125595288,21,159,8.9
Mason County,Kentucky,74.4527109111077,21,161,8.4
Meade County,Kentucky,76.7511220573896,21,163,8.7
Menifee County,Kentucky,74.4094075459957,21,165,10.0
Mercer County,Kentucky,75.6375088727127,21,167,7.9
Metcalfe County,Kentucky,74.2303398111707,21,169,8.2
Monroe County,Kentucky,73.3186625629932,21,171,9.1
Montgomery County,Kentucky,75.4898032131249,21,173,8.2
Morgan County,Kentucky,75.5688342625836,21,175,8.1
Muhlenberg County,Kentucky,74.9144810295916,21,177,9.1
Nelson County,Kentucky,76.8244420007598,21,179,7.5
Nicholas County,Kentucky,73.4454692277164,21,181,6.9
Ohio County,Kentucky,75.2537579030894,21,183,7.5
Oldham County,Kentucky,79.4910062885771,21,185,7.2
Owen County,Kentucky,76.3288572421427,21,187,7.9
Owsley County,Kentucky,70.2448990291587,21,189,6.8
Pendleton County,Kentucky,75.1600836080674,21,191,8.6
Perry County,Kentucky,70.0268114453256,21,193,9.4
Pike County,Kentucky,72.3366052832354,21,195,8.9
Powell County,Kentucky,71.1481319366748,21,197,9.0
Pulaski County,Kentucky,74.595312133057,21,199,8.2
Robertson County,Kentucky,74.4762924695745,21,201,13.3
Rockcastle County,Kentucky,74.2829677545348,21,203,8.5
Rowan County,Kentucky,75.4727492428198,21,205,21.7
Russell County,Kentucky,74.6366521713156,21,207,8.7
Scott County,Kentucky,77.9348798088865,21,209,9.3
Shelby County,Kentucky,78.4607953553432,21,211,8.5
Simpson County,Kentucky,75.525157548313,21,213,9.7
Spencer County,Kentucky,77.5118474486824,21,215,7.2
Taylor County,Kentucky,75.5893902473319,21,217,11.9
Todd County,Kentucky,75.2832604578378,21,219,10.2
Trigg County,Kentucky,76.3514383632774,21,221,6.8
Trimble County,Kentucky,75.4868164205629,21,223,7.3
Union County,Kentucky,74.5877597074006,21,225,19.3
Warren County,Kentucky,77.0764716072267,21,227,16.2
Washington County,Kentucky,76.7484846769994,21,229,10.8
Wayne County,Kentucky,75.7058751542539,21,231,8.4
Webster County,Kentucky,74.4439979104049,21,233,8.6
Whitley County,Kentucky,71.7505626864631,21,235,11.3
Wolfe County,Kentucky,71.2304147978541,21,237,9.9
Woodford County,Kentucky,78.0431323709178,21,239,6.5
Acadia Parish,Louisiana,74.1337017498536,22,001,9.9
Allen Parish,Louisiana,76.3857262002751,22,003,8.6
Ascension Parish,Louisiana,77.8580255715755,22,005,8.6
Assumption Parish,Louisiana,76.4887941280442,22,007,9.4
Avoyelles Parish,Louisiana,73.7257796784394,22,009,9.1
Beauregard Parish,Louisiana,74.9771172710316,22,011,8.9
Bienville Parish,Louisiana,73.7185448397636,22,013,9.4
Bossier Parish,Louisiana,77.3794441523739,22,015,10.3
Caddo Parish,Louisiana,74.7426728376636,22,017,10.2
Calcasieu Parish,Louisiana,74.9948464232285,22,019,10.4
Caldwell Parish,Louisiana,73.1565959309548,22,021,10.2
Cameron Parish,Louisiana,79.4723966406935,22,023,10.7
Catahoula Parish,Louisiana,72.9171219373172,22,025,10.5
Claiborne Parish,Louisiana,75.5434881116452,22,027,13.9
Concordia Parish,Louisiana,73.2600370803799,22,029,9.7
De Soto Parish,Louisiana,74.744922957554,22,031,8.6
East Baton Rouge Parish,Louisiana,76.1910651734354,22,033,15.0
East Carroll Parish,Louisiana,72.1737677770998,22,035,9.9
East Feliciana Parish,Louisiana,73.3643721186984,22,037,9.8
Evangeline Parish,Louisiana,73.654839992028,22,039,10.8
Franklin Parish,Louisiana,73.6364946214106,22,041,8.0
Grant Parish,Louisiana,74.8967958396149,22,043,8.7
Iberia Parish,Louisiana,75.0954107609159,22,045,9.8
Iberville Parish,Louisiana,74.9022405664288,22,047,10.7
Jackson Parish,Louisiana,75.3506098594976,22,049,9.6
Jefferson Parish,Louisiana,77.0040081444945,22,051,9.4
Jefferson Davis Parish,Louisiana,74.3102606545816,22,053,8.5
Lafayette Parish,Louisiana,77.4958098580069,22,055,12.4
Lafourche Parish,Louisiana,76.6676098473701,22,057,10.6
LaSalle Parish,Louisiana,74.9634149939997,22,059,10.1
Lincoln Parish,Louisiana,77.4634540143885,22,061,26.0
Livingston Parish,Louisiana,75.7652682008535,22,063,9.0
Madison Parish,Louisiana,71.8620443231785,22,065,10.2
Morehouse Parish,Louisiana,72.7187514955762,22,067,9.1
Natchitoches Parish,Louisiana,75.3762470120981,22,069,15.0
Orleans Parish,Louisiana,75.9370097758459,22,071,12.0
Ouachita Parish,Louisiana,75.0948444676467,22,073,11.1
Plaquemines Parish,Louisiana,76.8688662492379,22,075,9.1
Pointe Coupee Parish,Louisiana,75.4988122637733,22,077,8.2
Rapides Parish,Louisiana,74.6052376530042,22,079,9.2
Red River Parish,Louisiana,73.6274435333637,22,081,10.3
Richland Parish,Louisiana,74.3339196685445,22,083,9.2
Sabine Parish,Louisiana,75.5539292746514,22,085,9.0
Saint Bernard Parish,Louisiana,74.6782449513938,22,087,10.6
Saint Charles Parish,Louisiana,76.8635472429353,22,089,10.2
Saint Helena Parish,Louisiana,73.9780791055477,22,091,10.0
Saint James Parish,Louisiana,76.3601262503443,22,093,9.8
Saint John the Baptist Parish,Louisiana,74.8681129128732,22,095,10.3
Saint Landry Parish,Louisiana,73.5181187516795,22,097,9.3
Saint Martin Parish,Louisiana,75.8516356286628,22,099,9.7
Saint Mary Parish,Louisiana,74.8288207463209,22,101,10.0
Saint Tammany Parish,Louisiana,77.7999935123278,22,103,7.7
Tangipahoa Parish,Louisiana,74.2747715581373,22,105,12.2
Tensas Parish,Louisiana,74.6081729940411,22,107,6.3
Terrebonne Parish,Louisiana,75.0609898946069,22,109,10.4
Union Parish,Louisiana,75.009271821857,22,111,9.9
Vermilion Parish,Louisiana,76.6679216816871,22,113,8.6
Vernon Parish,Louisiana,75.8267002726618,22,115,14.7
Washington Parish,Louisiana,72.653296261166,22,117,8.2
Webster Parish,Louisiana,74.0760037006103,22,119,8.9
West Baton Rouge Parish,Louisiana,76.3396281613268,22,121,10.3
West Carroll Parish,Louisiana,74.6155193218278,22,123,10.7
West Feliciana Parish,Louisiana,77.0093946621345,22,125,7.0
Winn Parish,Louisiana,74.553306353537,22,127,8.9
